sLxdName;sElement;sId;sLabel;sParamGl;sParamLr
btnCountry;btn;AF;Afghánistán;AF;fa
btnCountry;btn;AL;Albánie;AL;sq
btnCountry;btn;DZ;Alžírsko;DZ;ar
btnCountry;btn;AD;Andorra;AD;ca
btnCountry;btn;AO;Angola;AO;pt
btnCountry;btn;AG;Antigua a Barbuda;AG;en
btnCountry;btn;AR;Argentina;AR;es
btnCountry;btn;AM;Arménie;AM;hy
btnCountry;btn;AU;Austrálie;AU;en
btnCountry;btn;AZ;Ázerbájdžán;AZ;az
btnCountry;btn;BS;Bahamy;BS;en
btnCountry;btn;BH;Bahrajn;BH;ar
btnCountry;btn;BD;Bangladéš;BD;bn
btnCountry;btn;BB;Barbados;BB;en
btnCountry;btn;BE;Belgie;BE;nl
btnCountry;btn;BZ;Belize;BZ;en
btnCountry;btn;BY;Bělorusko;BY;ru
btnCountry;btn;BJ;Benin;BJ;fr
btnCountry;btn;BT;Bhútán;BT;dz
btnCountry;btn;BO;Bolívie;BO;es
btnCountry;btn;BA;Bosna a Hercegovina;BA;bs
btnCountry;btn;BW;Botswana;BW;en
btnCountry;btn;BR;Brazílie;BR;pt
btnCountry;btn;BRN;Brunej;BRN;ms
btnCountry;btn;BG;Bulharsko;BG;bg
btnCountry;btn;BF;Burkina Faso;BF;fr
btnCountry;btn;BI;Burundi;BI;fr
btnCountry;btn;CK;Cookovy ostrovy;CK;en
btnCountry;btn;TD;Čad;TD;fr
btnCountry;btn;ME;Černá Hora;ME;sr
btnCountry;btn;CZ;Česko;CZ;cs
btnCountry;btn;CN;Čína;CN;zh-CN
btnCountry;btn;DK;Dánsko;DK;da
btnCountry;btn;DM;Dominika;DM;en
btnCountry;btn;DO;Dominikánská republika;DO;es
btnCountry;btn;EG;Egypt;EG;ar
btnCountry;btn;EC;Ekvádor;EC;es
btnCountry;btn;ER;Eritrea;ER;ti
btnCountry;btn;EE;Estonsko;EE;et
btnCountry;btn;ET;Etiopie;ET;am
btnCountry;btn;FJ;Fidži;FJ;en
btnCountry;btn;PH;Filipíny;PH;en
btnCountry;btn;FI;Finsko;FI;fi
btnCountry;btn;FR;Francie;FR;fr
btnCountry;btn;GA;Gabon;GA;fr
btnCountry;btn;GM;Gambie;GM;en
btnCountry;btn;GH;Ghana;GH;en
btnCountry;btn;GD;Grenada;GD;en
btnCountry;btn;GL;Grónsko;GL;da
btnCountry;btn;GT;Guatemala;GT;es
btnCountry;btn;GN;Guinea;GN;fr
btnCountry;btn;GW;Guinea-Bissau;GW;pt
btnCountry;btn;GY;Guyana;GY;en
btnCountry;btn;HT;Haiti;HT;fr
btnCountry;btn;HN;Honduras;HN;es
btnCountry;btn;CL;Chile;CL;es
btnCountry;btn;HR;Chorvatsko;HR;hr
btnCountry;btn;IN;Indie;IN;en
btnCountry;btn;ID;Indonésie;ID;id
btnCountry;btn;IQ;Irák;IQ;ar
btnCountry;btn;IR;Írán;IR;fa
btnCountry;btn;IE;Irsko;IE;en
btnCountry;btn;IS;Island;IS;is
btnCountry;btn;IT;Itálie;IT;it
btnCountry;btn;JM;Jamajka;JM;en
btnCountry;btn;JP;Japonsko;JP;ja
btnCountry;btn;YE;Jemen;YE;ar
btnCountry;btn;KR;Jižní Korea;KR;ko
btnCountry;btn;SS;Jižní Súdán;SS;en
btnCountry;btn;JO;Jordánsko;JO;ar
btnCountry;btn;KY;Kajmanské ostrovy;KY;en
btnCountry;btn;KH;Kambodža;KH;km
btnCountry;btn;CM;Kamerun;CM;fr
btnCountry;btn;CA;Kanada;CA;en
btnCountry;btn;CV;Kapverdy;CV;pt
btnCountry;btn;KZ;Kazachstán;KZ;ru
btnCountry;btn;KE;Keňa;KE;en
btnCountry;btn;KG;Kirgizstán;KG;ky
btnCountry;btn;KI;Kiribati;KI;en
btnCountry;btn;CO;Kolumbie;CO;es
btnCountry;btn;KM;Komory;KM;fr
btnCountry;btn;CR;Kostarika;CR;es
btnCountry;btn;cu;Kuba;cu;es
btnCountry;btn;KW;Kuvajt;KW;ar
btnCountry;btn;CY;Kypr;CY;el
btnCountry;btn;LA;Laos;LA;lo
btnCountry;btn;LS;Lesotho;LS;en
btnCountry;btn;LB;Libanon;LB;ar
btnCountry;btn;LR;Libérie;LR;en
btnCountry;btn;LY;Libye;LY;ar
btnCountry;btn;LI;Lichtenštejnsko;LI;de
btnCountry;btn;LT;Litva;LT;lt
btnCountry;btn;LV;Lotyšsko;LV;lv
btnCountry;btn;LU;Lucembursko;LU;fr
btnCountry;btn;MG;Madagaskar;MG;fr
btnCountry;btn;MY;Malajsie;MY;en
btnCountry;btn;MW;Malawi;MW;en
btnCountry;btn;MV;Maledivy;MV;dv
btnCountry;btn;ML;Mali;ML;fr
btnCountry;btn;MT;Malta;MT;en
btnCountry;btn;MA;Maroko;MA;ar
btnCountry;btn;MH;Marshallovy ostrovy;MH;en
btnCountry;btn;MU;Mauricius;MU;en
btnCountry;btn;MR;Mauritánie;MR;ar
btnCountry;btn;MX;Mexiko;MX;es
btnCountry;btn;FM;Mikronésie;FM;en
btnCountry;btn;MD;Moldavsko;MD;ro
btnCountry;btn;MC;Monako;MC;fr
btnCountry;btn;MN;Mongolsko;MN;mn
btnCountry;btn;MZ;Mosambik;MZ;pt
btnCountry;btn;MM;Myanmar;MM;my
btnCountry;btn;NA;Namibie;NA;en
btnCountry;btn;NR;Nauru;NR;en
btnCountry;btn;NP;Nepál;NP;ne
btnCountry;btn;NE;Niger;NE;fr
btnCountry;btn;NG;Nigérie;NG;en
btnCountry;btn;NI;Nikaragua;NI;es
btnCountry;btn;NL;Nizozemsko;NL;nl
btnCountry;btn;NO;Norsko;NO;no
btnCountry;btn;NZ;Nový Zéland;NZ;en
btnCountry;btn;OM;Omán;OM;ar
btnCountry;btn;PK;Pákistán;PK;ur
btnCountry;btn;PW;Palau;PW;en
btnCountry;btn;PA;Panama;PA;es
btnCountry;btn;PG;Papua-Nová Guinea;PG;en
btnCountry;btn;PY;Paraguay;PY;es
btnCountry;btn;PE;Peru;PE;es
btnCountry;btn;CI;Pobřeží slonoviny;CI;fr
btnCountry;btn;PL;Polsko;PL;pl
btnCountry;btn;PT;Portugalsko;PT;pt
